gene,tag,target_id,LB0R1,LB0R2,LB0R3,LB1R1,LB1R2,LB1R3,M9LQR1,M9LQR2,M9LQR3,M9SFR1,M9SFR2,M9SFR3
N/A,ACIAD1810,lcl|CR543861.1_cds_CAG68645.1_1658,0.0,16.1598,0.0,0.0,0.0,8.6108,14.0885,65.6322,0.0,35.3492,46.0452,34.264
N/A,ACIAD1811,lcl|CR543861.1_cds_CAG68646.1_1659,29.9881,24.0229,29.5256,19.6777,18.2162,14.7156,12.4218,38.6276,25.5013,45.2415,53.8797,74.2852
N/A,ACIAD1812,lcl|CR543861.1_cds_CAG68647.1_1660,12.0908,9.79444,6.47884,7.02003,15.8379,6.36732,13.0214,4.33774,17.0436,39.8741,43.7936,38.456
N/A,ACIAD1813,lcl|CR543861.1_cds_CAG68648.1_1661,3.56853,3.96912,3.94219,4.28176,2.74975,3.43555,6.05926,10.5954,2.31018,18.8723,22.3456,14.5073
N/A,ACIAD1814,lcl|CR543861.1_cds_CAG68649.1_1662,10.6492,6.1563,5.70481,3.09537,4.97643,4.66504,6.56733,7.65634,10.0203,6.28298,4.40862,9.38142
N/A,ACIAD1815,lcl|CR543861.1_cds_CAG68650.1_1663,2.87177,8.37755,8.45427,8.29484,6.47354,7.15713,9.802,12.5666,8.95118,40.5721,33.3564,29.5054
N/A,ACIAD1816,lcl|CR543861.1_cds_CAG68651.1_1664,8.62148,3.30578,0.0,2.73644,3.56833,0.0,2.88942,10.11,17.7194,14.8869,23.5432,14.4969
N/A,ACIAD1817,lcl|CR543861.1_cds_CAG68652.1_1665,11.101,5.30957,6.13762,0.0,4.29509,5.38031,7.01309,5.4523,7.15236,9.06145,11.0553,13.4173
alkK,ACIAD1818,lcl|CR543861.1_cds_CAG68653.1_1666,21.77,17.9046,21.8125,19.3455,23.7077,24.8259,42.7625,47.0666,65.0385,128.154,111.83,86.8145
N/A,ACIAD1819,lcl|CR543861.1_cds_CAG68654.1_1667,65.4061,66.8978,53.5034,61.7173,58.9026,46.0725,58.1501,44.7065,90.4747,254.78,190.323,157.858
N/A,ACIAD1820,lcl|CR543861.1_cds_CAG68655.1_1668,49.0748,51.1185,55.8826,69.4419,58.5523,42.006,22.6452,35.204,48.9934,209.607,172.672,144.23
N/A,ACIAD1821,lcl|CR543861.1_cds_CAG68656.1_1669,104.716,109.158,119.461,97.8164,104.559,75.2383,49.6127,66.0893,104.355,437.172,368.765,282.653
N/A,ACIAD1822,lcl|CR543861.1_cds_CAG68657.1_1670,44.3957,40.9762,31.0757,40.7551,46.8395,26.7935,65.7316,96.3464,146.27,146.263,113.711,99.8467
N/A,ACIAD1824,lcl|CR543861.1_cds_CAG68658.1_1671,10.395,6.61886,5.10659,9.21594,11.8931,12.2759,25.3887,31.8797,38.7831,25.7144,28.9248,25.97
N/A,ACIAD1825,lcl|CR543861.1_cds_CAG68659.1_1672,3.74487,4.16652,5.5165,2.99431,6.73565,0.0,0.0,3.70385,4.84661,12.1463,10.6587,7.31764
pauA,ACIAD1826,lcl|CR543861.1_cds_CAG68660.1_1673,4.92076,5.3414,6.72264,3.95651,2.51623,4.70247,5.41794,2.80602,4.57468,17.4902,12.0093,13.1171
N/A,ACIAD1827,lcl|CR543861.1_cds_CAG68661.1_1674,0.0,3.53971,2.04587,0.0,4.29509,4.03523,7.01309,8.17846,7.15236,15.7383,33.166,15.1486
N/A,ACIAD1828,lcl|CR543861.1_cds_CAG68662.1_1675,6.2113,5.75324,2.81259,7.67405,6.84827,5.03123,7.35002,5.71052,16.1487,23.3332,21.2207,14.2253
N/A,ACIAD1829,lcl|CR543861.1_cds_CAG68663.1_1676,6.54061,5.53637,2.14014,6.98686,2.23681,6.28261,2.47447,8.65287,9.42444,17.3151,19.0323,16.3772
N/A,ACIAD1830,lcl|CR543861.1_cds_CAG68664.1_1677,6.02575,11.0001,8.87301,8.44627,9.27538,5.06639,7.69069,10.4587,9.7654,35.1368,49.7426,39.8363
N/A,ACIAD1831,lcl|CR543861.1_cds_CAG68665.1_1678,9.19329,7.31682,5.08071,0.0,3.54973,2.22052,7.77313,6.79745,2.9684,7.87145,9.15686,8.61318
N/A,ACIAD1832,lcl|CR543861.1_cds_CAG68666.1_1679,120.055,249.241,115.939,61.0165,129.556,197.391,490.301,405.687,705.384,318.351,195.844,322.756
N/A,ACIAD1834,lcl|CR543861.1_cds_CAG68667.1_1680,15.7857,43.684,36.9316,16.3353,20.0406,26.8325,70.9096,78.9916,81.7254,122.042,113.117,119.034
N/A,ACIAD1835,lcl|CR543861.1_cds_CAG68668.1_1681,25.4796,29.5002,22.787,10.189,19.6364,17.5258,46.3407,70.2296,58.9002,216.153,211.349,176.133
N/A,ACIAD1836,lcl|CR543861.1_cds_CAG68669.1_1682,3.45688,6.58214,5.08964,3.32458,4.96378,10.6205,7.06621,6.86359,1.79379,13.6417,7.08522,9.95596
N/A,ACIAD1837,lcl|CR543861.1_cds_CAG68670.1_1683,0.0,22.258,0.0,30.2058,21.7907,0.0,33.1497,36.7695,50.9988,24.5768,38.2223,39.1699
N/A,ACIAD1838,lcl|CR543861.1_cds_CAG68671.1_1684,7.07374,9.0097,5.21277,7.52397,9.71385,4.55806,3.98545,4.64703,0.0,7.27117,5.36805,7.36261
N/A,ACIAD1839,lcl|CR543861.1_cds_CAG68672.1_1685,9.65448,17.5902,10.1671,6.58897,15.652,6.68381,16.2668,16.2598,7.10955,20.8545,31.3952,18.0688
N/A,ACIAD1840,lcl|CR543861.1_cds_CAG68673.1_1686,30.9229,43.0125,45.2004,38.0201,46.3143,36.7946,0.0,11.6609,31.1665,25.6721,33.6966,32.6095
N/A,ACIAD1841,lcl|CR543861.1_cds_CAG68674.1_1687,10.822,5.20147,11.9856,4.25087,5.643,13.2927,49.1784,41.6954,41.341,23.5874,12.2612,35.9626
